no,booking_id,user_id,property_id,city,room_type,check_in,check_out,nights_stayed,guests_count,total_amount,price_per_night,status,payment_method,booking_channel,created_at,updated_at
13,18174,60330,3214,Bali,  Entire home ,11-07-24,17-07-24,6,1,,133.46,pending,credit_card  ,mobile_app,2024-06-24T06:29:54.000Z,2024-07-11T08:16:44.000Z
14,18191,97656,15359,Cape Town,Shared room,15-12-24,20-12-24,5,2,280.42,56.08,pending,credit_card,web,2024-09-25T11:05:52.000Z,2024-12-10T17:25:07.000Z
15,18183,116387,13376,Lisbon,  Private room ,08-06-24,13-06-24,5,2,809.72,161.94,completed,paypal,web,2024-06-02T09:37:06.000Z,2024-06-13T23:59:59.000Z
16,18171,9768,11821,Bali,  Entire home ,13-06-25,16-06-25,3,1,742.2,247.4,cancelled,credit_card,mobile_app,2025-04-05T02:49:34.000Z,2025-06-06T00:25:14.000Z
17,18190,44951,12099,Barcelona,Entire home,18-06-25,23-06-25,5,1,132.29,26.46,confirmed,credit_card,web,2025-06-01T04:14:16.000Z,2025-06-16T09:41:03.000Z
18,18169,16728,10689,Reykjavik,Hotel room,11-07-25,14-07-25,3,2,166.19,55.4,cancelled,credit_card,web,2025-04-12T08:01:34.000Z,2025-07-03T07:49:50.000Z
19,18200,4649,10684,Lisbon,Entire home,13-02-25,18-02-25,5,2,516.93,103.39,CANCELLED,apple_pay,mobile_app,2024-10-13T06:18:20.000Z,2025-02-09T17:07:11.000Z
20,18201,92371,13194,Tokio,Shared room,21-07-25,25-07-25,4,1,237.73,59.43,confirmed,paypal,web,2025-07-01T19:18:24.000Z,2025-07-09T15:27:09.000Z
21,18188,51478,15597,Barcelona,Private room,01-06-25,06-06-25,5,1,465.5,93.1,pending,apple_pay,web,2025-04-19T02:17:38.000Z,2025-05-18T08:12:13.000Z
22,18195,113105,1503,Reykjavik,Entire home,18-06-25,23-06-25,5,1,-808.44,161.69,confirmed,paypal,mobile_app,2025-06-14T02:55:57.000Z,2025-06-18T18:40:47.000Z
23,18205,78271,11411,Bali,Entire home,25-08-24,30-08-24,5,1,-424.81,84.96,pending,credit_card  ,mobile_app,2024-06-28T14:30:58.000Z,2024-08-16T07:39:34.000Z
24,18207,51823,332,Tokyo,Entire home,17-06-24,20-06-24,3,1,299.66,99.89,canceled,credit_card,web,2024-05-25T07:44:40.000Z,2024-06-17T16:14:15.000Z
25,18180,41325,8684,Cape Town,Entire home,01-07-25,06-07-25,5,2,726.93,145.39,confirmed,credit_card,web,2025-01-09T08:37:21.000Z,2025-06-26T01:12:52.000Z
26,18177,53973,13582,Lisbon,Entire home,27-06-24,30-06-24,3,2,613.05,204.35,cancelled,bank_transfer,mobile_app,2024-05-12T19:23:10.000Z,2024-06-13T07:22:20.000Z
27,18161,27968,8660,Reykjavik,Private room,27-07-25,30-07-25,3,2,983.69,327.9,pending,apple_pay,mobile_app,2025-07-27T23:59:59.000Z,2025-07-27T23:59:59.000Z
28,18189,33430,2878,Lisbon,  Entire home ,14-01-25,18-01-25,4,1,976.4,244.1,confirmed,paypal,web,2024-05-03T04:20:11.000Z,2025-01-10T22:21:17.000Z
29,18192,41601,8939,,Hotel room,11-08-24,16-08-24,5,1,955.28,191.06,pending,credit_card  ,partner,2024-06-30T00:14:40.000Z,2024-08-04T22:35:04.000Z
30,18179,66829,2467,Cape Town,Entire home,13-05-25,15-05-25,2,1,451.55,225.78,cancelled,credit_card,mobile_app,2025-04-25T07:25:30.000Z,2025-05-13T00:52:09.000Z
31,18199,71569,12517,Lisbon,  Entire home ,27-07-25,28-07-25,1,1,525.25,525.25,cancelled,paypal,web,2025-07-27T23:59:59.000Z,2025-07-27T23:59:59.000Z
32,18173,12657,4105,Barcelona,Entire home,04-06-25,07-06-25,3,3,222.31,74.1, pending,paypal,mobile_app,2024-08-20T20:06:41.000Z,2025-01-09T15:15:05.000Z
33,18175,26669,15305,BALI,Entire home,12-07-25,15-07-25,3,3,475.17,158.39, pending,apple_pay,web,2025-05-22T21:42:08.000Z,2025-05-31T08:27:56.000Z
34,18185,43345,6997,Reykjavik,Entire home,14-07-25,16-07-25,2,1,504.9,252.45,confirmed,credit_card,mobile_app,2025-04-19T05:06:34.000Z,2025-05-25T17:30:21.000Z
35,18173,12657,4105,barcelona,Entire home,04-06-25,07-06-25,3,3,222.31,74.1,pending,paypal  ,mobile_app,2024-08-20T20:06:41.000Z,2025-01-09T15:15:05.000Z
36,18178,124502,12615,LISBON,Private room,15-05-25,19-05-25,4,1,544.31,136.08,confirmed,apple_pay,mobile_app,2025-04-12T20:43:19.000Z,2025-05-08T12:10:53.000Z
37,18166,25051,11460,Reykjavik,Private room,22-06-25,25-06-25,3,1,844.5,281.5,cancelled,credit_card  ,web,2025-04-11T12:46:47.000Z,2025-06-02T05:28:24.000Z
38,18170,22870,883,Cape Town,Private room,30-07-25,31-07-25,1,,825.25,825.25,pending,apple_pay,partner,2025-07-26T02:08:16.000Z,2025-07-29T18:42:41.000Z
39,18158,104276,4749,Reykjavik,Entire home,11-12-24,15-12-24,4,1,879.15,219.79,confirmed,bank_transfer,web,2024-12-04T05:28:55.000Z,2024-12-06T22:54:47.000Z
40,18160,43834,11881,Bali,Private room,14-12-24,18-12-24,4,3,,148.4,PENDING,bank_transfer,web,2024-11-10T15:31:49.000Z,2024-12-12T10:19:16.000Z
41,18203,104640,14856,Bali,Private room,04-06-25,07-06-25,3,,821.85,273.95,confirmed,credit_card,web,2025-05-22T14:35:52.000Z,2025-06-01T04:03:08.000Z
42,18196,32071,2769,Barcelona,Private room,30-01-25,02-02-25,3,1,,231.79,completed,apple_pay,web,2024-02-16T02:30:41.000Z,2025-02-02T23:59:59.000Z
43,18187,49512,17379,,  Entire home ,09-06-25,11-06-25,2,1,532.65,266.32, pending,credit_card,mobile_app,2025-02-01T09:40:35.000Z,2025-05-14T03:38:56.000Z
44,18204,31368,17904,barcelona,Entire home,26-09-24,01-10-24,5,1,,56.68,pending,paypal,mobile_app,2024-09-22T03:04:36.000Z,2024-09-25T10:10:59.000Z
45,18200,4649,10684,Lisbon,  Entire home ,13-02-25,18-02-25,5,2,516.93,103.39,cancelled,apple_pay,mobile_app,2024-10-13T06:18:20.000Z,2025-02-09T17:07:11.000Z
46,18181,39201,12282,Bali,Entire home,05-06-25,09-06-25,4,2,968.41,242.1,confirmed ,apple_pay,,2025-05-31T16:50:00.000Z,2025-06-03T18:44:39.000Z
47,18188,51478,15597,Barcelona,Private room,01-06-25,06-06-25,5,1,465.5,93.1,pending,apple_pay,web,2025-04-19T02:17:38.000Z,2025-05-18T08:12:13.000Z
48,18163,46691,11733,Lisbon,Entire home,11-06-25,16-06-25,5,1,771.19,154.24,confirmed ,,web,2025-05-28T12:12:41.000Z,2025-06-11T18:43:07.000Z
49,18162,90588,6271,Tokyo,Entire home,16-06-24,21-06-24,5,1,495.79,99.16,Pending,paypal,partner,2023-10-10T04:18:20.000Z,2023-10-21T09:18:42.000Z
50,18176,42285,17623,Bali,Entire home,07-09-24,08-09-24,,1,956.12,956.12,CONFIRMED,credit_card,mobile_app,2024-06-13T09:14:07.000Z,2024-09-06T17:03:41.000Z
51,18180,41325,8684,Cape Town,Entire home,01-07-25,06-07-25,5,2,726.93,145.39,confirmed,credit_card,web,2025-01-09T08:37:21.000Z,2025-06-26T01:12:52.000Z
52,18167,106864,6039,Bali,  Private room ,04-04-25,09-04-25,5,1,995.18,199.04,cancelled,credit_card,web,2025-04-04T04:24:44.000Z,2025-04-04T21:52:22.000Z
53,18198,51382,4075,TOKYO,Entire home,22-06-24,28-06-24,,2,514.91,85.82,Cancelled,credit_card,partner,2024-05-21T06:32:38.000Z,2024-06-19T17:50:31.000Z
54,18193,67336,4817,bali,Private room,21-07-25,25-07-25,4,1,910.88,227.72,confirmed,nan  ,web,2025-07-20T03:07:12.000Z,2025-07-21T14:39:17.000Z
55,18159,102433,8618,Bali,Hotel room,06-10-24,10-10-24,4,3,451.33,112.83,pending,apple_pay,mobile_app,2024-01-05T13:02:52.000Z,2024-02-06T00:11:03.000Z
